"site_no","station_nm","date","gage_ht","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd"
"06772775","Warm Slough near Central City, Nebr.","2019-03-26 12:45:00",5.39,"ST","41.09083330","-98.07777780","S","NAD83"
"06772898","Silver Creek, at Mile 4 near Silver Creek, Nebr.","2019-03-26 12:45:00",6.23,"ST","41.29722220","-97.71388890","S","NAD83"
"06773500","Prairie Creek near Silver Creek, Nebr.","2019-03-26 12:45:00",6.27,"ST","41.32890300","-97.67532960","S","NAD83"
"06774000","Platte River near Duncan, Nebr.","2019-03-26 12:30:00",5.07,"ST","41.36833330","-97.49527780","S","NAD83"
"06775500","Middle Loup River at Dunning, Nebr.","2019-03-26 12:45:00",3.4,"ST","41.83091667","-100.09952780","H","NAD83"
"06775900","Dismal River near Thedford, Nebr.","2019-03-26 12:45:00",0.46,"ST","41.77861110","-100.52527780","S","NAD83"
"06781600","South Loup River at Arnold, Nebr.","2019-03-26 12:45:00",5.96,"ST","41.42277778","-100.20337780","H","NAD83"
"06781900","South Loup River at Pressey WMA near Oconto, Nebr.","2019-03-26 12:45:00",0.73,"ST","41.19278056","-99.70860830","1","NAD83"
"06781900","South Loup River at Pressey WMA near Oconto, Nebr.","2019-03-26 12:45:00",0.87,"ST","41.19278056","-99.70860830","1","NAD83"
"06784000","South Loup River at Saint Michael, Nebr.","2019-03-26 12:45:00",1.68,"ST","41.03250000","-98.74055560","S","NAD83"
"06785000","Middle Loup River at Saint Paul, Nebr.","2019-03-26 11:30:00",0.02,"ST","41.20350000","-98.44611110","H","NAD83"
"06785500","North Loup River at Brewster, Nebr.","2019-03-26 12:45:00",3.06,"ST","41.94166667","-99.86027780","S","NAD83"
"06786000","North Loup River at Taylor, Nebr.","2019-03-26 12:45:00",3.5,"ST","41.77694444","-99.37916670","S","NAD83"
"06790500","North Loup River near Saint Paul, Nebr.","2019-03-26 12:15:00",2.83,"ST","41.26334596","-98.44923600","S","NAD83"
